Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer
Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision;5540000;5730000;490000;1570000;13320000;8.8;39;3.2;5234;Infinity Ward, Sledgehammer Games
Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive;6990000;4510000;300000;1300000;13100000;9.7;56;8.5;664;DMA Design
Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo;6620000;2550000;2660000;1010000;12840000;9.3;81;8.9;1662;Game Arts
Mario Kart 7;3DS;2011;Racing;Nintendo;5030000;4019999;2690000;910000;12660000;8.5;73;8.2;632;Retro Studios, Entertainment Analysis & Development Division
Call of Duty: Black Ops;PS3;2010;Shooter;Activision;5990000;4370000;480000;1790000;12630000;8.8;58;6.4;1094;Treyarch
Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive;3960000;6310000;380000;1970000;12610000;9.7;66;8.3;2899;Rockstar North
Animal Crossing: Wild World;DS;2005;Simulation;Nintendo;2500000;3450000;5330000;860000;12130000;8.6;57;8.7;242;Nintendo
Halo 3;X360;2007;Shooter;Microsoft Game Studios;7970000;2810000;130000;1210000;12120000;9.4;86;7.8;4100;Bungie Software, Bungie
Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment;3010000;10000;1100000;7530000;11660000;8.9;74;8.5;272;Polyphony Digital
Super Mario Galaxy;Wii;2007;Platform;Nintendo;6060000;3350000;1200000;740000;11350000;9.7;73;8.9;2147;Nintendo
Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive;6760000;3070000;140000;1030000;11010000;9.8;86;7.9;2951;Rockstar North
Gran Turismo;PS;1997;Racing;Sony Computer Entertainment;4019999;3870000;2540000;520000;10950000;9.6;16;8.7;138;Polyphony Digital
Super Mario 3D Land;3DS;2011;Platform;Nintendo;4890000;3000000;2140000;780000;10810000;9.0;82;8.4;921;Nintendo
Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment;2960000;4820000;810000;2110000;10700000;8.4;82;7.5;1112;Polyphony Digital
Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision;4990000;3640000;380000;1600000;10600000;9.4;67;6.3;2073;Infinity Ward
Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive;4760000;3690000;440000;1610000;10500000;9.8;64;7.5;2833;Rockstar North
Call of Duty: Ghosts;X360;2013;Shooter;Activision;6730000;2560000;40000;910000;10250000;7.3;29;2.6;2117;Infinity Ward
Just Dance 3;Wii;2011;Misc;Ubisoft;5950000;3110000;0;1060000;10120000;7.4;15;7.8;16;Ubisoft
New Super Mario Bros. 2;3DS;2012;Platform;Nintendo;3660000;3140000;2470000;630000;9900000;7.8;70;7.2;424;Nintendo
Halo: Reach;X360;2010;Shooter;Microsoft Game Studios;7040000;1950000;80000;790000;9860000;9.1;99;7.9;2045;Bungie
Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment;3010000;2470000;3280000;960000;9720000;9.2;20;9.2;1282;SquareSoft
Halo 4;X360;2012;Shooter;Microsoft Game Studios;6650000;2280000;40000;740000;9710000;8.7;87;7.0;3260;343 Industries
Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment;3880000;3420000;1690000;500000;9490000;9.3;23;9.0;135;Polyphony Digital
Just Dance 2;Wii;2010;Misc;Ubisoft;5800000;2850000;10000;780000;9440000;7.4;24;7.3;24;Ubisoft
Call of Duty: Ghosts;PS3;2013;Shooter;Activision;4099999;3630000;380000;1250000;9360000;7.1;10;2.6;1047;Infinity Ward
Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision;5930000;2360000;130000;900000;9310000;9.4;70;8.4;1320;Infinity Ward
Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo;2029999;2360000;4390000;390000;9160000;8.8;70;8.7;626;Nintendo
Mario Party DS;DS;2007;Misc;Nintendo;4400000;1850000;1980000;680000;8910000;7.2;27;7.8;85;Hudson Soft
The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5050000;2790000;100000;850000;8790000;9.6;89;8.4;3589;Bethesda Game Studios
FIFA 16;PS4;2015;Sports;Electronic Arts;1120000;6120000;60000;1280000;8570000;8.2;42;4.3;896;EA Sports
Halo 2;XB;2004;Shooter;Microsoft Game Studios;6820000;1530000;50000;80000;8490000;9.5;91;8.2;1218;Bungie Software
Wii Party;Wii;2010;Misc;Nintendo;1750000;3470000;2490000;670000;8380000;6.8;42;7.4;54;Nd Cube
Mario Party 8;Wii;2007;Misc;Nintendo;3740000;2240000;1580000;700000;8270000;6.2;41;6.3;190;Hudson
FIFA Soccer 13;PS3;2012;Action;Electronic Arts;1060000;5010000;130000;1970000;8160000;8.8;37;6.6;348;Electronic Arts
Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;2910000;2069999;2730000;330000;8050000;9.2;53;8.7;1056;SquareSoft
The Sims 3;PC;2009;Simulation;Electronic Arts;990000;6420000;0;600000;8010000;8.6;75;7.6;886;The Sims Studio
Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;2280000;1720000;3630000;230000;7860000;9.0;24;8.6;644;SquareSoft
Pokémon Platinum Version;DS;2008;Role-Playing;Nintendo;2760000;1720000;2690000;540000;7720000;8.3;46;8.5;203;Game Freak
Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;2900000;2810000;240000;1730000;7690000;8.8;65;7.6;451;Rockstar Leeds
Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;2810000;3480000;140000;1230000;7660000;8.3;39;5.7;1443;Sledgehammer Games
FIFA 17;PS4;2016;Sports;Electronic Arts;660000;5750000;80000;1110000;7590000;8.5;41;5.0;398;EA Sports, EA Vancouver
Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;3560000;2350000;980000;620000;7510000;9.7;87;9.1;1854;Nintendo EAD Tokyo
Call of Duty: World at War;X360;2008;Shooter;Activision;4810000;1880000;0;690000;7380000;8.4;84;7.6;580;Treyarch
Battlefield 3;X360;2011;Shooter;Electronic Arts;4460000;2110000;60000;690000;7320000;8.4;57;7.4;2142;EA DICE
Need for Speed Underground;PS2;2003;Racing;Electronic Arts;3270000;2830000;80000;1020000;7200000;8.5;33;8.6;171;EA Black Box
Just Dance;Wii;2009;Misc;Ubisoft;3480000;2990000;0;730000;7200000;4.9;21;8.0;110;Ubisoft Paris
Battlefield 3;PS3;2011;Shooter;Electronic Arts;2850000;2890000;350000;1080000;7170000;8.5;38;7.5;1761;EA DICE
Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;2530000;3270000;240000;1130000;7160000;8.7;58;6.5;4228;Bethesda Game Studios
Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;3270000;2220000;1400000;290000;7160000;9.6;15;9.1;367;Namco
The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;3740000;2140000;600000;680000;7150000;9.5;73;9.0;1658;Nintendo
Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment;3680000;1750000;1420000;280000;7130000;9.1;12;8.9;432;Naughty Dog
Mario Kart 8;WiiU;2014;Racing;Nintendo;3150000;2150000;1280000;510000;7090000;8.8;82;9.1;1599;Nintendo
Super Smash Bros. Melee;GC;2001;Fighting;Nintendo;4410000;1040000;1390000;220000;7070000;9.2;38;9.1;568;HAL Labs
Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts;2710000;3020000;80000;1090000;6900000;8.2;39;8.6;132;EA Canada
Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts;2930000;2750000;170000;990000;6830000;8.8;29;8.5;135;EA LA
Just Dance 4;Wii;2012;Misc;Ubisoft;4050000;2160000;0;550000;6760000;7.4;10;7.3;28;Ubisoft
Gears of War 2;X360;2008;Shooter;Microsoft Game Studios;4150000;1900000;60000;640000;6750000;9.3;90;7.7;2739;Epic Games
Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment;2770000;2750000;190000;1030000;6740000;9.2;97;8.3;3712;Naughty Dog
Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision;3110000;2260000;280000;1030000;6680000;9.4;44;8.4;993;Infinity Ward
Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment;3270000;2200000;210000;980000;6660000;9.6;105;8.8;5187;Naughty Dog
Big Brain Academy;DS;2005;Misc;Nintendo;1660000;2750000;1600000;620000;6620000;7.4;45;7.4;27;Nintendo
Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;2790000;2530000;170000;990000;6490000;9.5;73;8.8;2456;Rockstar San Diego
FIFA 14;PS3;2013;Sports;Electronic Arts;780000;4240000;70000;1370000;6470000;8.6;37;4.3;576;EA Canada
Assassin's Creed III;PS3;2012;Action;Ubisoft;2640000;2520000;160000;1120000;6450000;8.5;41;6.9;1307;Ubisoft
Donkey Kong Country Returns;Wii;2010;Platform;Nintendo;3170000;1790000;1030000;460000;6440000;8.7;77;8.6;368;Retro Studios
Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios;4980000;1300000;80000;70000;6430000;9.7;68;8.6;1283;Bungie Software
The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks;2550000;2600000;250000;1000000;6410000;9.2;16;6.4;2527;Bethesda Game Studios
Pokémon Emerald Version;GBA;2004;Role-Playing;Nintendo;2570000;1580000;2060000;210000;6410000;7.6;28;9.0;222;Game Freak
Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;3640000;1200000;1490000;70000;6400000;8.5;46;8.8;597;SquareSoft
Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios;4340000;1340000;60000;610000;6340000;8.3;94;7.1;1163;Bungie Software, Bungie
Red Dead Redemption;X360;2010;Action;Take-Two Interactive;3700000;1950000;90000;580000;6320000;9.5;96;9.0;2316;Rockstar San Diego
Super Mario Sunshine;GC;2002;Platform;Nintendo;4010000;1260000;870000;170000;6310000;9.2;61;8.6;439;Nintendo
World of Warcraft;PC;2004;Role-Playing;Activision;80000;6210000;0;0;6290000;9.3;57;7.3;2182;Blizzard Entertainment
Driver;PS;1999;Action;GT Interactive;3110000;2800000;20000;330000;6270000;8.7;22;8.1;78;Reflections Interactive
Gears of War 3;X360;2011;Shooter;Microsoft Game Studios;4050000;1590000;70000;500000;6210000;9.1;96;7.8;1504;Epic Games
Kinect Sports;X360;2010;Sports;Microsoft Game Studios;3920000;1730000;30000;510000;6190000;7.3;51;7.4;95;Rare Ltd.
Gears of War;X360;2006;Shooter;Microsoft Game Studios;3540000;1880000;70000;600000;6090000;9.4;88;8.3;2295;Epic Games
FIFA 15;PS4;2014;Sports;Electronic Arts;800000;4330000;50000;900000;6080000;8.2;47;5.7;988;EA Sports
Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;2450000;2009999;870000;720000;6050000;9.6;42;8.7;1026;KCEJ
Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment;3180000;1830000;780000;240000;6030000;9.4;20;9.4;918;KCEJ
Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment;2630000;1710000;830000;820000;5990000;9.4;82;8.7;3558;Kojima Productions
Final Fantasy XII;PS2;2006;Role-Playing;Square Enix;1880000;0;2330000;1740000;5950000;9.2;64;7.6;972;Square Enix
The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;2410000;2180000;280000;990000;5870000;9.5;98;9.1;8003;Naughty Dog
LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment;2800000;1980000;170000;870000;5820000;9.5;85;6.8;5311;SCE/WWS, Media Molecule
Resident Evil 2;PS;1998;Action;Virgin Interactive;1880000;1470000;2020000;450000;5820000;8.9;13;9.2;364;Capcom
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo;630000;670000;4350000;150000;5780000;8.7;65;8.8;197;Level 5
Tekken 2;PS;1996;Fighting;Sony Computer Entertainment;2260000;1890000;1360000;230000;5740000;8.9;8;8.9;102;Namco
Destiny;PS4;2014;Shooter;Activision;2490000;2069999;160000;920000;5640000;7.6;95;6.1;5380;Bungie Software, Bungie
LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts;3570000;1550000;0;510000;5640000;8.0;17;8.9;62;Traveller's Tales
Cooking Mama;DS;2006;Simulation;505 Games;3070000;1910000;70000;570000;5630000;6.7;35;7.2;21;Taito Corporation
Assassin's Creed II;PS3;2009;Action;Ubisoft;2540000;1930000;210000;860000;5550000;9.1;70;8.6;1202;Ubisoft Montreal
Assassin's Creed;X360;2007;Adventure;Ubisoft;3280000;1640000;70000;560000;5540000;8.1;77;7.7;1074;Ubisoft Montreal
Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios;2990000;1900000;100000;500000;5490000;9.2;90;8.0;516;Turn 10
Super Mario Advance;GBA;2001;Platform;Nintendo;3140000;1240000;910000;200000;5490000;8.4;19;7.8;41;Nintendo
Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom;470000;550000;4130000;340000;5480000;8.1;48;8.7;124;Capcom
Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment;2710000;1850000;110000;810000;5480000;9.6;42;8.6;2162;Rocksteady Studios
Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive;2810000;2190000;0;470000;5480000;9.7;14;7.9;764;Rockstar North
Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo;2620000;1640000;990000;230000;5470000;9.3;24;8.3;108;Intelligent Systems
Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive;2069999;2290000;240000;820000;5420000;6.6;22;7.1;156;Traveller's Tales
Call of Duty: World at War;PS3;2008;Shooter;Activision;2730000;1830000;0;830000;5390000;8.5;45;7.6;409;Treyarch
Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment;1850000;2500000;190000;850000;5380000;9.3;113;7.9;7064;Naughty Dog
Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;1740000;1210000;1870000;510000;5330000;8.3;83;7.3;2483;Square Enix
Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;1620000;770000;2780000;140000;5300000;9.4;22;8.9;779;SquareSoft
Assassin's Creed III;X360;2012;Action;Ubisoft;3130000;1690000;30000;440000;5290000;8.4;61;6.7;1196;Ubisoft
Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts;1920000;1080000;2110000;170000;5290000;8.5;45;6.6;400;SquareSoft
Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision;3220000;1550000;10000;480000;5270000;8.1;53;5.4;898;Sledgehammer Games
Assassin's Creed II;X360;2009;Action;Ubisoft;3110000;1550000;80000;510000;5260000;9.0;82;8.8;1305;Ubisoft Montreal
New Super Mario Bros. U;WiiU;2012;Platform;Nintendo;2300000;1340000;1270000;320000;5220000;8.4;70;8.1;733;Nintendo
Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix;650000;750000;3610000;200000;5210000;8.9;63;8.8;245;Level 5
Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;1210000;2430000;1030000;520000;5190000;8.5;72;8.6;147;Level 5
FIFA Soccer 13;X360;2012;Action;Electronic Arts;1090000;3470000;30000;570000;5160000;9.0;48;6.1;403;Electronic Arts
Diablo III;PC;2012;Role-Playing;Activision;2440000;2160000;0;540000;5140000;8.8;86;4.0;9629;Blizzard Entertainment
Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts;1980000;2230000;130000;800000;5130000;6.8;30;7.6;100;EA LA
Guitar Hero II;PS2;2006;Misc;RedOctane;3810000;630000;0;680000;5120000;9.2;69;8.5;112;Harmonix Music Systems
Fable III;X360;2010;Role-Playing;Microsoft Game Studios;3590000;1080000;50000;380000;5100000;8.0;88;6.5;604;Lionhead Studios
Resident Evil 5;PS3;2009;Action;Capcom;1960000;1410000;1080000;640000;5090000;8.4;76;7.5;667;Capcom
The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo;1850000;1800000;950000;480000;5080000;9.0;57;8.0;416;Nintendo
FIFA Soccer 11;PS3;2010;Sports;Electronic Arts;610000;3280000;60000;1120000;5070000;8.9;51;8.0;233;EA Sports
Resident Evil;PS;1996;Action;Virgin Interactive;2049999;1160000;1110000;730000;5050000;9.1;8;9.0;266;Capcom
Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;1700000;1990000;160000;1180000;5030000;8.6;50;8.0;150;Rockstar Leeds
Tony Hawk's Pro Skater;PS;1999;Sports;Activision;3420000;1380000;20000;200000;5020000;9.2;18;9.2;69;Neversoft Entertainment
Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision;3490000;10000;10000;1480000;4980000;8.2;24;8.2;46;Neversoft Entertainment, BudCat
Link's Crossbow Training;Wii;2007;Shooter;Nintendo;3050000;1170000;290000;460000;4980000;6.8;34;7.1;47;Nintendo
Fallout 3;X360;2008;Role-Playing;Bethesda Softworks;3400000;990000;90000;450000;4930000;9.3;84;8.5;1655;Bethesda Game Studios
Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment;2310000;1720000;120000;770000;4920000;8.8;66;8.1;2306;Naughty Dog, SCE/WWS
Madden NFL 06;PS2;2005;Sports;Electronic Arts;3980000;260000;10000;660000;4910000;8.8;29;8.0;121;EA Sports
StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision;2570000;1680000;0;580000;4840000;9.3;82;8.2;3052;Blizzard Entertainment
Assassin's Creed;PS3;2007;Adventure;Ubisoft;1910000;2000000;90000;820000;4820000;8.1;40;7.3;769;Ubisoft Montreal
God of War III;PS3;2010;Action;Sony Computer Entertainment;2740000;1330000;120000;610000;4800000;9.2;101;8.7;2633;SCE Santa Monica
Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;2570000;1570000;440000;210000;4790000;8.8;20;9.0;233;Naughty Dog
LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts;2830000;1480000;0;450000;4760000;8.0;9;5.4;46;TT Fusion
Driver 2;PS;2000;Action;Atari;2360000;2100000;20000;250000;4730000;6.2;14;7.7;92;Reflections Interactive
Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment;2990000;1270000;40000;420000;4730000;9.4;87;8.7;1472;Rocksteady Studios
Tony Hawk's Pro Skater 2;PS;2000;Sports;Activision;3050000;1410000;20000;200000;4680000;9.8;19;7.7;299;Neversoft Entertainment
The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts;1940000;1950000;80000;700000;4670000;8.2;32;8.2;78;Stormfront Studios
Tomb Raider;PS;1996;Action;Eidos Interactive;2290000;1970000;130000;240000;4630000;9.1;13;8.6;147;Core Design Ltd.
Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo;1820000;1120000;1320000;360000;4620000;7.3;50;7.6;119;Nintendo
Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment;2069999;1710000;80000;760000;4620000;8.6;78;8.1;1264;Bluepoint Games
The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo;2600000;990000;890000;130000;4600000;9.6;80;8.9;968;Nintendo
Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision;3040000;1110000;0;430000;4600000;8.6;36;8.4;87;Vicarious Visions
Luigi's Mansion: Dark Moon;3DS;2013;Action;Nintendo;1800000;1390000;1110000;290000;4590000;8.6;74;8.4;458;Next Level Games
Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios;2080000;1970000;60000;460000;4570000;9.1;83;8.2;617;Turn 10
Madden NFL 2005;PS2;2004;Sports;Electronic Arts;4179999;260000;10000;80000;4530000;9.1;30;7.9;78;EA Tiburon
Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision;3190000;910000;10000;420000;4530000;8.5;69;7.9;165;Neversoft Entertainment
Madden NFL 07;PS2;2006;Sports;Electronic Arts;3630000;240000;10000;610000;4490000;8.4;29;8.2;39;EA Sports
Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios;2780000;1270000;30000;410000;4480000;8.4;101;6.4;2438;343 Industries
Spider-Man: The Movie;PS2;2002;Action;Activision;2710000;1510000;30000;230000;4480000;7.6;25;7.9;41;Treyarch
Call of Duty: Infinite Warfare;PS4;2016;Shooter;Activision;1610000;2000000;150000;710000;4460000;7.7;82;3.4;1129;Infinity Ward
God of War;PS2;2005;Action;Sony Computer Entertainment;2710000;1290000;20000;430000;4450000;9.4;75;8.9;997;SCE Santa Monica
Splatoon;WiiU;2015;Shooter;Nintendo;1540000;1180000;1460000;260000;4430000;8.1;88;8.5;1184;Nintendo
Nintendo Land;WiiU;2012;Misc;Nintendo;2520000;1110000;460000;330000;4420000;7.7;61;7.9;471;Nintendo
Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision;2660000;1290000;10000;460000;4410000;9.7;34;7.5;298;Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment;100000;2390000;1050000;860000;4390000;8.6;19;8.9;33;Konami
The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive;2820000;1030000;130000;400000;4380000;9.4;90;8.7;1109;Bethesda Softworks
Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts;2029999;1790000;80000;470000;4370000;8.2;36;9.1;137;EA Canada
Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;2640000;1330000;10000;390000;4360000;5.6;37;8.3;31;Ubisoft Paris, Ubisoft Montpellier
Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment;1740000;1720000;140000;750000;4340000;8.6;70;8.1;715;Insomniac Games
Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix;2200000;580000;1380000;170000;4330000;8.7;64;9.0;766;Square Enix
Super Mario 3D World;WiiU;2013;Platform;Nintendo;2110000;1160000;730000;320000;4320000;9.3;83;9.0;1607;Nintendo
Fable II;X360;2008;Role-Playing;Microsoft Game Studios;2510000;1240000;110000;410000;4270000;8.9;95;6.5;2423;Lionhead Studios
Namco Museum;GBA;2001;Misc;Namco Bandai Games;3000000;1110000;50000;70000;4240000;7.9;10;7.3;6;Mass Media
Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive;2240000;1310000;70000;610000;4230000;9.1;70;8.9;1122;Rocksteady Studios
Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment;1460000;0;830000;1930000;4230000;9.1;68;9.3;955;KCEJ
Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft;1410000;2009999;100000;700000;4220000;8.0;39;7.5;613;Ubisoft Montreal
Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks;2510000;1320000;10000;380000;4220000;8.8;39;6.2;1749;Bethesda Game Studios
FIFA 14;X360;2013;Sports;Electronic Arts;920000;2890000;10000;400000;4220000;8.4;41;4.2;435;EA Canada
Daxter;PSP;2006;Platform;Sony Computer Entertainment;2450000;1010000;0;750000;4210000;8.5;59;8.7;109;Ready at Dawn
FIFA Soccer 06;PS2;2005;Sports;Electronic Arts;780000;2550000;40000;840000;4210000;8.0;32;7.8;47;EA Canada
EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment;880000;2300000;200000;830000;4200000;8.0;32;7.5;22;SCEE, Zoe Mode
Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment;1280000;1820000;570000;520000;4190000;8.0;67;7.1;120;Polyphony Digital
Assassin's Creed: Revelations;X360;2011;Action;Ubisoft;2250000;1470000;40000;430000;4190000;8.0;77;7.2;564;Ubisoft Montreal
Street Fighter IV;PS3;2009;Fighting;Capcom;2029999;1040000;580000;520000;4160000;9.4;61;7.3;330;Capcom
Madden NFL 2003;PS2;2002;Sports;Electronic Arts;3360000;210000;10000;560000;4139999;9.5;25;7.7;65;EA Sports
Half-Life;PC;1997;Shooter;Vivendi Games;4030000;0;90000;0;4120000;9.6;24;9.1;3161;Valve Software
World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision;2570000;1520000;0;0;4090000;9.1;46;7.9;785;Blizzard Entertainment
Battlefield 1;PS4;2016;Shooter;Electronic Arts;1100000;2150000;210000;610000;4080000;8.8;31;8.4;809;EA DICE
God of War II;PS2;2007;Action;Sony Computer Entertainment;2320000;40000;40000;1670000;4070000;9.3;70;8.9;709;SCE Santa Monica
